Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi
Trims..sangat membantu aplikasi ini,Dessy Fajarini,5,2023-01-07 03:26:03,InfoBMKG
Sangat membantu buat traveling,Syamsul,5,2023-01-07 00:50:11,InfoBMKG
Ini bagaimana sih setelah di update malah keluar sndri apliksinya tolong donk diperbaiki lagi,Liya Defretes,3,2023-01-06 23:44:23,InfoBMKG
"Tolong admin untuk menyetel ulang tanggal, karena tanggal di bmkg selalu telat 1 hari..kejadian hari ini tapi tercatat tanggal kemarin...tolong di benarkan min Terimakasih",Wandi Tosan (sang pejuang),4,2023-01-06 22:23:18,InfoBMKG
"Masih banyak bugs, mohon diperbaiki🙏🏻 semangaaaattt😁",Rofi Al Husna,5,2023-01-06 12:44:53,InfoBMKG
Aplikasi ny sering keluar sendiri pas di gunakan,Muhamad Ramadhan 39,1,2023-01-06 04:17:10,InfoBMKG
"Kenapa gk bisa masuk ya, udah masuk tapi keluar lagi, tolong dong kenapa bisa kaya gitu???",Muhammad Hamka,5,2023-01-05 23:17:02,InfoBMKG
❤️❤️❤️❤️❤️❤️❤️❤️❤️,tete dikutetu,5,2023-01-05 22:04:31,InfoBMKG
"Apkl dari tgl 4/01/2023 tdk bisa dibuka , sdh instal ulang ttp g bisa dibuka, knp?",Euis Setiawati,1,2023-01-05 20:51:22,InfoBMKG
"Cuaca maritim lebih baik versi lama,versi lama tinggal klik gambar langsung muncul 3hari kedepan,versi baru ribet harus ketik nama lokasi dulu, dan kenapa selalu keluar sendiri",Aditya Gemers,2,2023-01-05 14:50:42,InfoBMKG
"PARAH 👎👎 MINTA UPDATE TERUS, UDAH DI UPDATE MALAH GAK BISA KE BUKA, MAAF BINTANG 7 JADI BINTANG 1 👎👎👎👎👎",Ab1 Tyx,1,2023-01-05 14:29:48,InfoBMKG
"Bug masih ada,,gak bisa log in",Rizqi Setiawan,3,2023-01-05 14:29:20,InfoBMKG
Iki gimana sih tdk bisa dibuka lalu ditambah lodiiiiing nya lama banget tolong dong di di tambah di buka malah keluar sendiri dan tdk respon perbaiki lagiiiiiiiiiii yaaaaaaaa,ERFIN ANDRIAN,2,2023-01-05 13:47:49,InfoBMKG
"Sangat baik, dan membantu....",ario pambudi,5,2023-01-05 13:43:36,InfoBMKG
Pertama bagus lama2 di buka selalu kembali ke menu hp lagi Mengecewakan tolong di perbaiki,Pak Ares,1,2023-01-05 12:54:55,InfoBMKG
"Setelah update jadi loading dan force close, masih bagus yang lama tampilan sederhana.",Dadang Kurniawan,1,2023-01-05 09:35:10,InfoBMKG
Habis di update malah tdk bs digunakan 😭,Nila Sartika,2,2023-01-05 07:39:18,InfoBMKG
Sangat membanti,Ade Irma,5,2023-01-05 05:57:24,InfoBMKG
Tolong di perbaiki baru juga login tapi langsung log out sendiri,Anime ID,3,2023-01-05 05:03:22,InfoBMKG
"Habis upgrade versi terbaru kenapa malah ngga bisa di buka aplikasi nya, kalo di buka suka keluar dengan sendiri nya begitu terus",Dyah Ayu Megawati,4,2023-01-05 02:46:05,InfoBMKG
Telat info nya di perbaiki lagi,De Nay,2,2023-01-05 02:26:21,InfoBMKG
"Map,, udh masuk to ke luar lagi, admin tolong perbaiki ya, trimaksih",Parid,2,2023-01-05 02:00:50,InfoBMKG
BMKG memang sangat membatu bangett,Sejarah Dunia,5,2023-01-05 01:43:31,InfoBMKG
Sering keluar dari aplikasi..gimana ini,Masita Marliah,3,2023-01-05 01:22:03,InfoBMKG
Mohon ya lebih akurat lagi ada impormasi di daerah gempa dekat ko gk ada tapi yang jauh trus,Sandi Hasan,2,2023-01-05 01:02:38,InfoBMKG
"Maaf saya turunkan bintangnya, setelah update aplikasinya tdk bisa dibuka, force close terus",Moba Channel,1,2023-01-04 23:30:34,InfoBMKG
Setelah di update informasi gempa malah lebih lambat daripada versi lama.,Echa Kurnia,3,2023-01-04 23:21:36,InfoBMKG
Bagus banget bmkg bisa lhat gempa,Nella Didan,5,2023-01-04 23:04:32,InfoBMKG
👍,wike windoyoko,5,2023-01-04 22:44:23,InfoBMKG
Di instal langsung keluar lagi,syahril saleh,1,2023-01-04 14:54:07,InfoBMKG
Sangat bermanvaat tuk situasi alam saat ini mantap,matex manzo,5,2023-01-04 14:33:35,InfoBMKG
Bagus,Suparman Parman,5,2023-01-04 13:35:25,InfoBMKG
Tidak akurat gempah sudah 2 jam yang lalu belum jg muncul notifikasi.tolong di perbaiki lagi,Theo Semuruk,2,2023-01-04 13:11:46,InfoBMKG
"Kok ga bisa digunakan yaaa ,,keluar sendiri padahal lagi darurat bgini",Ernie Eka,1,2023-01-04 12:55:06,InfoBMKG
Di update malah force close melulu...,dimas zakkarias,3,2023-01-04 10:55:11,InfoBMKG
Cuaca kemarin hari ini dsn lusa serta yg ad....BMKG solusi akurasi,Argo Bromo,5,2023-01-04 09:56:15,InfoBMKG
lumayan,Ahmad Fatham,4,2023-01-04 07:30:15,InfoBMKG
Menyanangkan,Braja New,4,2023-01-04 04:43:43,InfoBMKG
"Aplikasi yg sangat bermanfaat, untuk mengetahui informasi awal gempa bumi",tono syafruddin,5,2023-01-04 04:42:53,InfoBMKG
"Terimakasih sudah membuat aplikasi ini, sangat membantu sekali",Si Usup,5,2023-01-04 04:28:36,InfoBMKG
🍉,toplek poto,2,2023-01-04 04:28:06,InfoBMKG
Mantabz.. Jadi terjaga dan tau Gempa,Tarjono Tarjono,5,2023-01-04 03:12:13,InfoBMKG
Sangat membantu,Tian Marcello,5,2023-01-04 02:55:31,InfoBMKG
Mantab selalu update jika ada gempa. Salut saya,abror rori,5,2023-01-04 02:50:34,InfoBMKG
semoga bgus,Sableng123 Sableng123,5,2023-01-04 02:43:56,InfoBMKG
H E B A A T,Muhammad Rais Ramli78,5,2023-01-04 02:31:14,InfoBMKG
"Menambah informasi, sejauh ini lumayan, hanya beberapa kekurangan saja, kurang update data mungkin server sibuk karna ngegarap secara nasional,contoh tgl 3 januari 2023 daerah pangandaran ada gempa dan berasa sumber lain ada beritanya, dari apk ini tidak ada..",Elnaura Azzahra Rilliansyah,3,2023-01-04 02:25:20,InfoBMKG
"Sangat terbantu,dalam perencanan perjalanan",Eko Priyanto,5,2023-01-04 02:24:49,InfoBMKG
Oke,Muhammad Yasin,5,2023-01-04 01:18:10,InfoBMKG
Aplikasi yang sangat membantu.. Bagus selalu bisa tau kondisi cuaca,Edy AC Liu,5,2023-01-04 00:48:46,InfoBMKG
Sangat bermanfaat utk informasi,rijal muchtar,5,2023-01-04 00:39:36,InfoBMKG
"Sangat bagus, dan membantu update informasi",Agus Suristianawati,5,2023-01-04 00:13:07,InfoBMKG
Sangat membantu masyarakat terutama masyarakat nelayan,Adhingk Nakpulau,5,2023-01-04 00:09:27,InfoBMKG
Good,Lingga Murti,5,2023-01-03 23:28:13,InfoBMKG
"Sudah cukup akurat, semoga semakin canggih dan up to date.",Virall Videos,5,2023-01-03 23:12:41,InfoBMKG
Kkkķķ,Aissyah Nur,1,2023-01-03 22:46:47,InfoBMKG
Ok,Iqbal Danil,5,2023-01-03 22:43:59,InfoBMKG
👍,Ishak Kaltara,5,2023-01-03 22:33:51,InfoBMKG
Sering bngt minta update😅,Suci wardi,4,2023-01-03 22:18:10,InfoBMKG
Update beritanya,Retnoeno Sunandar,5,2023-01-03 22:03:33,InfoBMKG
OK mantab cukup membantu,Slamet Riadi,5,2023-01-03 21:19:41,InfoBMKG
Tlong perbaikin seperti yang biasa,Yelianus Laia,1,2023-01-03 18:33:25,InfoBMKG
Mantap,sarmai_ bawah,4,2023-01-03 18:14:39,InfoBMKG
"aplikasi wajib untuk masyarakat, untuk survey tolong ditambahkan angin kencang beserta dampaknya, jangan cuma banjir,longsor.",BY EQUES,5,2023-01-03 16:55:00,InfoBMKG
Akurat,Suherdi Suher,4,2023-01-03 16:13:40,InfoBMKG
Bagus,wayan suprindo,5,2023-01-03 16:09:32,InfoBMKG
Okelah,Hasan yani,4,2023-01-03 16:05:53,InfoBMKG
Sangat membantu,Basar Bhetox,5,2023-01-03 15:55:24,InfoBMKG
Sangat membantu untuk mengakses berita cuaca dan gempa,Kasih Supardi,5,2023-01-03 15:34:58,InfoBMKG
Lihat keakuratannya,M hadi Prasetyo,4,2023-01-03 15:17:47,InfoBMKG
Mantap,reza noor serva,5,2023-01-03 14:36:04,InfoBMKG
mantap,Roni Damsiki,5,2023-01-03 14:06:07,InfoBMKG
Domba 🐑,Rian Lian,5,2023-01-03 13:53:50,InfoBMKG
Aplikasi nya sangat berguna,Dhika Alhakim,5,2023-01-03 13:52:14,InfoBMKG
Akurat,ikong winata,5,2023-01-03 13:38:57,InfoBMKG
Aplikasi ini sangat membantu sekali,Selda Selda,5,2023-01-03 13:37:13,InfoBMKG
Bru bberapa hri update Minta update lagi... Ribet bgt sihh,Windi Andinie,3,2023-01-03 13:30:04,InfoBMKG
Sangat membantu,Surya Tikno,4,2023-01-03 13:27:32,InfoBMKG
Membantu...,Marga Ratu,5,2023-01-03 13:17:18,InfoBMKG
Siiipppp,Setyaji Adjie,5,2023-01-03 13:08:11,InfoBMKG
Infonya akurat,moralito rahim,5,2023-01-03 13:05:54,InfoBMKG
Memuaskan,Yadi Supriyadi,5,2023-01-03 13:04:08,InfoBMKG
Hari hari gempa,Tirasa Channel,5,2023-01-03 13:03:34,InfoBMKG
"Info BMKG, dapat memberikan saya, informasi yang akurat dan terpercaya mengenai iklim cuaca dan gempa bumi, serta dapat memberi informasi tentang cuaca dan iklim di tempat saya.",Subadi Badi,5,2023-01-03 12:59:09,InfoBMKG
Mantap,Amath Neny,5,2023-01-03 12:41:40,InfoBMKG
aku suka aplikasi yg akurat mengenai bencana yg ada diindonesia,Bang Ully,5,2023-01-03 12:40:18,InfoBMKG
Sangat membantu,Mamah Rais Rohayati,5,2023-01-03 12:39:14,InfoBMKG
Sangat membantu memberi informasi bagi kami,Yopi Noya,5,2023-01-03 12:35:30,InfoBMKG
Sebagai pedoman dan informasi setelah ada gempa guna kita bisa melakukan sesuatu,BAGUS SEDIJANTO,4,2023-01-03 11:01:07,InfoBMKG
Mantap,PAPOEA YAHELIMO'77,5,2023-01-03 10:55:54,InfoBMKG
Terimakasih,Arjuna Ireng,5,2023-01-03 10:55:23,InfoBMKG
Mantap dan terimakasih infonya,Suyadi Affandi,5,2023-01-03 10:49:25,InfoBMKG
👍,Lalu muhammad Yusron,5,2023-01-03 10:42:27,InfoBMKG
Good,Suprijadi,5,2023-01-03 10:41:27,InfoBMKG
Ok,Baba Sulhid,5,2023-01-03 10:40:31,InfoBMKG
Mantaapp,Muammar Khadafi,5,2023-01-03 10:34:59,InfoBMKG
Terima kasih sangat membantu,Dani Leton,5,2023-01-03 10:34:44,InfoBMKG
Mantap,armand jija,5,2023-01-03 10:10:53,InfoBMKG
Sangat membantu dengan memberikan informasih kejadian yg terjadi di wilayah Indonesia. Maupun Mancanegara.,Yan keis Sawen,4,2023-01-03 10:08:37,InfoBMKG
Cukup membantu dalam memberi informasi terupdet,Milki Selusi,4,2023-01-03 10:05:13,InfoBMKG
Mantapsss.👍,Agung Purnama,5,2023-01-03 10:03:52,InfoBMKG
TDK akurat dan tampilannya kalah dgn aplikasi lain,Ghurunda Sadewadewa,2,2023-01-03 10:03:47,InfoBMKG
🤞👍,Dihan Fals,5,2023-01-03 09:57:14,InfoBMKG
Sangat membantu,Putri Tersayang,5,2023-01-03 09:56:30,InfoBMKG
Sangat membantu,Akbar Hanafy,5,2023-01-03 09:53:55,InfoBMKG
sangat bermanfaat..,eksa satria,5,2023-01-03 09:52:36,InfoBMKG
Sangat Membantu Dalam Mengetahui Info Update Gempa Di Seluruh Indonesia,Rizal Arifin,5,2023-01-03 09:48:36,InfoBMKG
Sangat membantu dan mudah digunakan,Din S,5,2023-01-03 09:42:41,InfoBMKG
Bagus si cuman kurang lengkap aja informasinya,Siska Jhie,5,2023-01-03 09:36:59,InfoBMKG
Like,Fairuz Almachzumi,3,2023-01-03 09:23:34,InfoBMKG
tulasan di peringatan tidak bisa di zoom permanen.,Rell Niyenk,4,2023-01-03 09:23:33,InfoBMKG
Update akurat,Serat Andri,5,2023-01-03 08:32:11,InfoBMKG
Informatif,Opic Ismail,5,2023-01-03 08:29:00,InfoBMKG
Bagus,Oppo Po,4,2023-01-03 08:28:30,InfoBMKG
Bermanfaat skali,Dani Donal,5,2023-01-03 07:47:46,InfoBMKG
Jempol,Mursali Sali,5,2023-01-03 06:33:39,InfoBMKG
akurat,cagia mentary tenkahary,5,2023-01-03 04:07:30,InfoBMKG
"Sudah cukup baik aplikasi BMKG nya. Namun perlu perbaikan dengan ditambahkan info seperti gunung berapi, info banjir, dan ketinggian air di beberapa tanggul.",J Kristiadi,4,2023-01-03 04:05:47,InfoBMKG
Siipp,Maun Satrio,5,2023-01-03 03:50:33,InfoBMKG
Sangat keren membantu,Wong Akbar Discovery,5,2023-01-03 02:59:12,InfoBMKG
Ok,Ellen Frans,5,2023-01-03 01:29:15,InfoBMKG
"Ada perubahan tampilan, tapi tetap untuk update posisi kota masih belum akurat seperti apk sebelah. Semoga terus membaik. Saya sangat suka fitur peringatan gempa dan cuaca.",zoel fikar,4,2023-01-03 01:10:28,InfoBMKG
Bermamfaat sekali,Panjol,4,2023-01-03 00:36:20,InfoBMKG
Bagus jd tau info terkini ttg bmkg,Clara Darrent,5,2023-01-03 00:25:38,InfoBMKG
"Apk lemot,ga gercep ngasih info nya...",dani radiansah,1,2023-01-03 00:18:58,InfoBMKG
Insyaallah Bisa digunakan dan bermanfaat,Abu Hasan Alansari,5,2023-01-03 00:07:21,InfoBMKG
Alhamdulilah sangat membantu.,Akhiruddin Ibrahim,4,2023-01-02 23:32:22,InfoBMKG
Semoga bermampaat,Undia Wa uun,5,2023-01-02 23:30:31,InfoBMKG
Membantu jika ada gempa langsung tahu dari mana titik sumber gempa nya,Dadang Wendra,5,2023-01-02 23:19:36,InfoBMKG
"Tampilannya sudah oke, cuman ya kurang update sm saya bingung mw cri wilayah saya tinggal. Soalnya skrg di jayapura lg gempa tp kenapa yg muncul di daerah lain. Mending google sih. Mohon dana pengembangan aplikasinya di maksimalin lah jgn masuk kantong",Muhammad Zulkarnain,2,2023-01-02 22:39:56,InfoBMKG
Terbaru,Irfan Bri,4,2023-01-02 17:30:58,InfoBMKG
Mantap,Haris Tolulu,5,2023-01-02 15:17:29,InfoBMKG
Mantap,Aisyah Aisyah,5,2023-01-02 12:26:11,InfoBMKG
Mantap,Hamdi Reza,5,2023-01-02 11:57:02,InfoBMKG
Sangat informatif,Dinar Aulia Sya'ban,5,2023-01-02 11:09:30,InfoBMKG
Tingkat terus aplikasinya sangat baik,Sukoco Koco,5,2023-01-02 11:06:43,InfoBMKG
Bagus,Ofeq Moch channel,3,2023-01-02 10:58:08,InfoBMKG
Oke...,nur rohim,5,2023-01-02 10:44:21,InfoBMKG
Sangat berguna sekali. Dengan aplikasi BMKG akhirnya saya bisa,ARIF RAHMAN Hakim,5,2023-01-02 08:05:50,InfoBMKG
"Setelah mendownload ini, setiap hari saya di kejutkan dengan gempa bumi👍",Ryusaki Dragneel,5,2023-01-02 06:58:21,InfoBMKG
Enakan versi lama. Cuaca maritim bisa dipantau buat beberapa hari kedepan. Versi yg skg cuman bisa liat cuaca hari itu saja.,Cidhori,4,2023-01-02 06:43:39,InfoBMKG
Baguz,Asep Setyadi Iskandar,4,2023-01-02 06:43:29,InfoBMKG
👍👍👍,Herman Hawir,5,2023-01-02 05:23:14,InfoBMKG
Sangat berguna,tatang juanda,5,2023-01-02 05:02:43,InfoBMKG
Ok banget ..👍🙂,Ujang Sukmana,5,2023-01-02 04:55:29,InfoBMKG
Sangat membantu,Muhammad Mulyadi,5,2023-01-02 04:25:22,InfoBMKG
App yg bagus,Nir Wana,5,2023-01-02 03:53:55,InfoBMKG
Sangat bermanfaat. Update terus ya. Terima kasih.,bang Fajar F67,5,2023-01-02 02:40:44,InfoBMKG
𝙄𝙣𝙛𝙤,Roy Gombong,5,2023-01-02 02:06:40,InfoBMKG
Sangat membantu bagi seluruh rakyat Indonesia,RB CS (Rama),5,2023-01-02 01:09:21,InfoBMKG
Baik,Jun latuconsina,5,2023-01-02 00:59:40,InfoBMKG
Sangat membantu,stephanus se,5,2023-01-02 00:31:45,InfoBMKG
Waspada dalam segala kondisi cuaca menjaga dan lestarikan alam untuk keseimbangan ekosistem,Hadiumar Isman,4,2023-01-01 23:28:02,InfoBMKG
Ok,Rusbandi,5,2023-01-01 23:18:15,InfoBMKG
Sangat bermanfaat sekali,Eman Sulaeman,5,2023-01-01 22:32:08,InfoBMKG
Sangat informatif,Alvin Maulana Ibrahim (Noona),5,2023-01-01 21:06:54,InfoBMKG
Informasi lengkap dan cepat,Syamat Hardyanto,5,2023-01-01 19:56:35,InfoBMKG
Mantul👍,Martha Martha,5,2023-01-01 19:39:35,InfoBMKG
"mohon maaf gue ksh ""Minus""... cek cuaca di aplikasi dan web tidak akurat, tidak seperti negara asing, selalu akurat... di bilang ""cerah berawan"" malah ""hujan lebat"", untung saja gue antisipasi tidak keluar rumah, kalau tidak sudah basah kuyup. sangat di sayangkan terlalu percaya sama bmkg... bmkg jgn fokus kan jakarta dan sekitarnya yg selalu akurat cuaca nya. indonesia bukan di sana saja.",all people for you,1,2023-01-01 19:37:11,InfoBMKG
Good,Dorothea Rahawarin,5,2023-01-01 19:05:58,InfoBMKG
Mntap,Jery julius,5,2023-01-01 18:55:35,InfoBMKG
"Mohon di perbaiki lagi agar bisa cepat update kalo ada kejadian seperti gempa /kejadian tektonik , terimakasih",Guntur Imam,4,2023-01-01 18:53:15,InfoBMKG
Sangat bagus,Sheva Pratama,5,2023-01-01 18:40:27,InfoBMKG
Top,indoluxmart,5,2023-01-01 17:46:49,InfoBMKG
The best this application,Hps,5,2023-01-01 16:43:51,InfoBMKG
Sangat membantu,Asu Tenan,4,2023-01-01 16:12:01,InfoBMKG
Excellent Apps,MUHAMMAD S.PD.,5,2023-01-01 15:19:03,InfoBMKG
Sangat membantu informasi cuaca,SUKITO ITO,5,2023-01-01 15:18:37,InfoBMKG
Bagus,pendidikan pendidik dan tenaga kependidikan,5,2023-01-01 15:01:16,InfoBMKG
Berita terbaru cepat sekali,Zulkarnain Sopian,5,2023-01-01 14:57:01,InfoBMKG
Sangat bermanfaat sekali,Pedro Magno Texeira,5,2023-01-01 14:32:05,InfoBMKG
Bagus mantap,kang duda channel,5,2023-01-01 13:50:53,InfoBMKG
Aplikasi yg sangat membantu😀,Ahmad syahbaz Alamullah,5,2023-01-01 13:39:28,InfoBMKG
Ok,Fitri Yadin,5,2023-01-01 13:38:08,InfoBMKG
Thr best,Abdullah Maliki,5,2023-01-01 13:10:19,InfoBMKG
Sangat membantu,wi hardja,5,2023-01-01 13:03:14,InfoBMKG
Mantap,Yuli Anto,5,2023-01-01 12:42:26,InfoBMKG
"Bismillah… YaAllah…mohon cuaca hujan jangan sampe besok2 terus YaAllah… YaAllah…kasihan anakku cowo masih kecil dan masih takut, belum berani sendiri YaAllah… Aamiin YRA🤲🏻",Sylviana Aristyani Putri,5,2023-01-01 12:29:49,InfoBMKG
Setelah update lbh cepat semoga kedepannya lebih canggih lagi,Ika Suwarjaya,5,2023-01-01 12:10:54,InfoBMKG
Oke,Argo Papua,5,2023-01-01 12:09:17,InfoBMKG
Menarik,tommy salembun,5,2023-01-01 12:06:22,InfoBMKG
Ok,arik plending,4,2023-01-01 12:05:29,InfoBMKG
Terima kasih,Marthin djami KA MANJA,5,2023-01-01 11:56:49,InfoBMKG
Perbanyak layanan,Agus Wicaksono,5,2023-01-01 11:54:09,InfoBMKG
the best,Tri Har,5,2023-01-01 11:48:29,InfoBMKG
Sangat bermanfaat.... Pertahankan terus....,atok suparto,5,2023-01-01 11:37:16,InfoBMKG
Good,Frengky Samuel Apituley,5,2023-01-01 11:33:15,InfoBMKG
Kadang tidak otomatis berpindah lokasi,endang surmen,4,2023-01-01 11:32:29,InfoBMKG
Sangat membantu,Sumarlin Rachmat,5,2023-01-01 11:26:37,InfoBMKG
Cocok kok boz,Om Jost,5,2023-01-01 11:22:30,InfoBMKG
Sangat bagus dan tepat hanya jarak pusat gempa yang meragukan,Supri Adi,4,2023-01-01 11:21:06,InfoBMKG
👍👍,heri k,5,2023-01-01 11:20:48,InfoBMKG
Aplikasi Ini Bagus Sekali 👍,Handika Pangestu Sutanto,5,2023-01-01 11:19:41,InfoBMKG
Good,Heroe Chairilanwar,5,2023-01-01 11:17:52,InfoBMKG
Membantu perencanaan di outdoor,HSA,5,2023-01-01 11:12:21,InfoBMKG
"Mantap,, tp masih perlu d tingkatkan lagi",Giat Arto Utomo,5,2023-01-01 10:59:07,InfoBMKG
Terima kasih.... Informasi cuacanya up to date,I PUTU ADHI NEGARA,5,2023-01-01 10:19:06,InfoBMKG
Top bgt,Mang Ghodex,5,2023-01-01 09:11:19,InfoBMKG
Cukup akurat,Julius Afandi,5,2023-01-01 07:46:14,InfoBMKG
👍,MUHAMMAD YANIS,5,2023-01-01 07:40:12,InfoBMKG
Good,ujang Mahmudin,5,2023-01-01 07:04:06,InfoBMKG
👍🏻👍🏻👍🏻,Painem Bejo,5,2023-01-01 05:32:52,InfoBMKG
"Tolong untuk maps Citra satelitnya langsung di zoom ke lokasi kita.. agar kita dengan mudah mencari lokasi kita, jadi nggak perlu zoom sendiri.. sama tolong menu siaran pers nya dimunculkan kembali.. Terimakasih :)",Viqy Fazrian,4,2023-01-01 05:06:01,InfoBMKG
Kurang update laporan cuacanya,Aditya Akbar,1,2022-12-31 17:41:28,InfoBMKG
coba dulu,ismanto adi,3,2022-12-31 11:27:16,InfoBMKG
good:),Fariz A,5,2022-12-31 10:20:33,InfoBMKG
Semoga dapat bermanfat memberikan informasi yg akurat,Jajuli Aja,5,2022-12-31 06:42:01,InfoBMKG
Bagus Trimakasih,Happy Wirawibawa,5,2022-12-31 02:39:27,InfoBMKG
Aplikasi sangat membantu bgus bangat,Delmayatis Atis,5,2022-12-31 00:18:13,InfoBMKG
Andalan utama seperti disarankan RI 1 utk lebih percaya,temondol pramono,5,2022-12-30 22:30:36,InfoBMKG
Sangat membantu informasi gempa bumi,Agus Rustaman,5,2022-12-30 03:23:42,InfoBMKG
Bisa mengikuti beritanya dan bisa ikut berpartisipasi dalam membantu saudara2 kita yang kena bencana alam.,AGOENK MBAH'E,5,2022-12-30 01:13:32,InfoBMKG
Gps tidak terbaca walau sudah diaktifkan.,vorpal king,1,2022-12-29 23:27:28,InfoBMKG
Di BMKG cerah eh ternyata hujan .,Bayu Soundsystem,1,2022-12-29 22:30:51,InfoBMKG
Good,Hendra Gunawan,5,2022-12-29 07:51:29,InfoBMKG
Aminnnm,SURYADI,5,2022-12-29 05:48:34,InfoBMKG
ᥬ😄᭄,Ervin Kecrok,5,2022-12-29 05:11:35,InfoBMKG
AQ suka infonya,Moh Hasyin AS,5,2022-12-29 03:13:33,InfoBMKG
Good,Tatang Suhendar,5,2022-12-28 16:47:49,InfoBMKG
Sangat membantu,Widya Ningsih,5,2022-12-28 16:06:53,InfoBMKG
Ya ok mengikuti/menggunakan,Pudji Setya,3,2022-12-28 13:26:36,InfoBMKG
Semoga brrmanfaat,Musdalifah Ifah,5,2022-12-27 17:59:14,InfoBMKG
Bagus dan terima kasih.,Susilo Silo,5,2022-12-27 11:49:51,InfoBMKG
Good..👍🏻👍🏻👍🏻,FaSa FauZi,5,2022-12-27 10:01:53,InfoBMKG
"Layanan ini sangat membantu memudahkan cara kerja,saya sangat senang adanya layanan ini.",Made Angga,5,2022-12-26 21:14:12,InfoBMKG
Mohon,Yus Djami,3,2022-12-26 20:46:15,InfoBMKG
mending gak instal ...versi baru ..parah abiis...,Duto Sadono,1,2022-12-26 03:55:03,InfoBMKG
Aplikasi ini memberikan kemudahan utk lebih cepat mengetahui keadaan cuaca,Nurlina Ali,5,2022-12-25 16:28:46,InfoBMKG
Good,Dimin Putraflores,5,2022-12-25 15:14:22,InfoBMKG
Lumayan,Robin Muhammad,3,2022-12-25 10:21:46,InfoBMKG
"Karena ini informasi sangat penting langsung dari yg berkompeten maka,tolong disempurnakan kekurangan yg ada.",BUYUNG,3,2022-12-25 09:55:35,InfoBMKG
Gak jelas masa kebanyakan info umum padahal yang di cari sesui GPS,Erens Smith Rafael,1,2022-12-25 08:23:49,InfoBMKG
Info Arah Angin dimenu NATARU bukan MENUJU tapi DARI. Bertolak belakang dengan data/fakta . Lihat peraturan pengamatan cuaca untuk arah angin BMKG.,Oke Widodo S,4,2022-12-25 05:16:04,InfoBMKG
"Ikon notifikasi cuma putih,segera perbaiki menjadi logo bmkg biar bagus",Aselole,4,2022-12-25 01:16:45,InfoBMKG
"Loading lama, padahal baru update",Mister Galing,2,2022-12-24 22:40:24,InfoBMKG
Top pisan,Eninop chanel eninop,5,2022-12-24 08:42:28,InfoBMKG
Yuk pakekini BMKG,Muhammad Ansori,3,2022-12-24 06:43:55,InfoBMKG
Setelah diperbaiki malah ndak bisa dibuka di android 10 padahal jaringan bagus,Kang Baser,2,2022-12-23 23:07:09,InfoBMKG
Lemot infonya,Dadan Gausikin,3,2022-12-23 12:05:38,InfoBMKG
Good,Nur Faizah MTsN 2 Gk,5,2022-12-23 04:15:47,InfoBMKG
Tampilan barunya kok makn aneh.. mendngan BMKG versi dlu.. ga pake2 animasi langsung buka.. klo skarng jadi lama.. tampilannya jga jadi mkn tmbh kaya bukan aplikasi pro.. kaya buat maen2.. animadi dngn gambar kartoon. Maaps jga msh yg global bukan yg hi-brid..,Alan Herdian,1,2022-12-23 01:14:16,InfoBMKG
Wow aplikasi ini penting untuk mendeteksi gempa 😀👍,Taufik Hidayah,5,2022-12-22 17:35:00,InfoBMKG
Mantap,Riki Ramdhani,5,2022-12-22 14:59:35,InfoBMKG
👍,Keira Adzkia,5,2022-12-22 13:02:34,InfoBMKG
salah satu aplikasi pemerintah yg berguna sekali,Wiki Suta,5,2022-12-22 12:33:01,InfoBMKG
"Aplikasinya tidak memberikan info, hari ini ada info gempa di kuningan, tp nihil berita di info BMKG",Suratno M.S,1,2022-12-22 07:19:20,InfoBMKG
Semoga sukses ya,Devi Ratna Ningsih,5,2022-12-22 07:15:01,InfoBMKG
Sayah dengan aplikasih ini,Ujang Hilman,1,2022-12-21 20:22:36,InfoBMKG
Dicoba dulu,Supriyatna Nana,5,2022-12-21 14:59:36,InfoBMKG
Bagus bermanfaat,Abdullah Abdullah,5,2022-12-21 09:26:45,InfoBMKG
Baguss,Gianni Christian Tirtana,5,2022-12-21 06:42:42,InfoBMKG
"Aplikasi macet² dan tidak bisa dibuka, jadi susah untuk tau informasi saat itu juga",Septiyaningrum,3,2022-12-20 22:34:05,InfoBMKG
Info yang masuk pasca gempa lambat tolong di perbaiki agar info pasca gempa cepat masuk,delwa wadel,1,2022-12-20 18:32:04,InfoBMKG
Jln trus,Edy Moopeet,5,2022-12-20 18:27:35,InfoBMKG
"Baru download udh kena gejala titik lokasi yg di atur manual suka bergeser, gps error mental ke mana mana. Itu mic buat apa y binggung gue",Ling Ling,5,2022-12-19 06:05:36,InfoBMKG
"Setelah diupdate app ini terkadang susah bukanya,malah jelek rasax. Mohon diperbaiki lg.",taufiq fiqo',3,2022-12-18 12:42:25,InfoBMKG
Mantap,Andi Sinrang,5,2022-12-18 01:29:41,InfoBMKG
"Susah terbuka,lalot bngt tolong diperbaiki 🥴",Sukma Sukma,1,2022-12-17 10:13:23,InfoBMKG
Biismillaaag semoga ketaui jarak nya amiin amiin,gas migas,5,2022-12-16 22:30:52,InfoBMKG
